local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:13,"KOUAKOU-HEUGUE, NOA",Block (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:15,"ISAILOVIC, STEFAN",Shot Rejected (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:15,"ISAILOVIC, STEFAN",Missed Three Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:39,"MAHOP, MATTHYS",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:41,"SOLIMAN, NATHAN",Two Pointer (1/1 - 2 pt),U18 Pole France INSEP Paris,2,0
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:45,"KOUAKOU-HEUGUE, NOA",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:45,"ISAILOVIC, STEFAN",Foul (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,10:00,,,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:00,"HOUINDO, CAMERON",Two Pointer (4/8 - 12 pt),U18 Pole France INSEP Paris,46,27
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:00,"HOUINDO, CAMERON",Off Rebound (6),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:00,"HOUINDO, CAMERON",Missed Two Pointer (3/7 - 10 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:00,"HOUINDO, CAMERON",Off Rebound (5),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:01,"FAYE, MEISSA",Missed Three Pointer (0/2 - 2 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:13,"HOUINDO, CAMERON",Steal (5),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:15,"SIJARIC, DARIS",Turnover (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:34,"FAYE, MEISSA",Assist (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:39,"GABRIEL DES BORDES, NATEO",Two Pointer (1/2 - 5 pt),U18 Pole France INSEP Paris,44,27
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:44,"FAYE, MEISSA",Def Rebound (3),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,00:46,"MIRKOVIC, ZIVKO",Missed Two Pointer (0/3 - 2 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,2º Cuarto,01:14,"SIJARIC, DARIS",Def Rebound (3),U18 Partizan Mozzart Bet Belgrade,,
